CustomerKey	Gender	MaritalStatus	Pets	Neighborhood
3	F	Married	1	Itaquera
8	F	Married	2	Cidade tiradentes
9	F	Married	5	Cidade tiradentes
20	F	Single	2	Guaianases
24	F	Single	1	Cidade tiradentes
26	F	Single	1	Cidade tiradentes
28	F	Single	1	Itaquera
30	F	Single	4	Guaianases
32	F	Single	2	Cidade tiradentes
36	F	Single	1	Guaianases
39	F	Married	4	Itaquera
41	F	Single	1	Guaianases
42	F	Married	3	Cidade tiradentes
43	F	Single	2	Itaquera
44	F	Single	1	Cidade tiradentes
45	F	Single	5	Itaquera
47	F	Married	1	São Miguel Paulista
48	F	Married	1	São Miguel Paulista
49	F	Single	4	Itaquera
52	F	Single	3	Cidade tiradentes
55	F	Married	3	Guaianases
57	F	Single	3	Cidade tiradentes
59	F	Married	5	Cidade tiradentes
60	F	Single	3	Cidade tiradentes
62	F	Married	1	Itaquera
64	F	Single	4	Guaianases
71	F	Single	5	São Miguel Paulista
75	F	Single	3	Itaquera
76	F	Single	1	Guaianases
77	F	Single	2	Cidade tiradentes
79	F	Single	2	Itaquera
80	F	Single	1	Guaianases
81	F	Single	2	Guaianases
87	F	Single	4	Cidade tiradentes
91	F	Married	1	Itaquera
93	F	Married	5	Itaquera
96	F	Single	1	Guaianases
99	F	Single	3	Guaianases
102	F	Married	2	São Miguel Paulista
104	F	Married	1	Guaianases
105	F	Married	3	Guaianases
109	F	Single	2	Cidade tiradentes
110	F	Single	3	Cidade tiradentes
112	F	Married	4	Cidade tiradentes
114	F	Single	3	São Miguel Paulista
115	F	Single	3	Itaquera
117	F	Married	3	Itaquera
118	F	Single	2	Guaianases
119	F	Single	4	Cidade tiradentes
121	F	Single	5	Cidade tiradentes
125	F	Married	2	Itaquera
126	F	Single	2	Itaquera
127	F	Single	1	Itaquera
128	F	Single	1	Itaquera
131	F	Single	3	Guaianases
133	F	Married	1	Cidade tiradentes
135	F	Married	5	São Miguel Paulista
136	F	Married	3	Itaquera
137	F	Married	3	Cidade tiradentes
139	F	Married	1	Guaianases
140	F	Married	2	Guaianases
141	F	Married	4	Cidade tiradentes
144	F	Single	3	Cidade tiradentes
148	F	Single	2	Itaquera
154	F	Single	1	Itaquera
155	F	Married	1	Cidade tiradentes
156	F	Single	1	São Miguel Paulista
158	F	Married	3	Itaquera
159	F	Married	4	Guaianases
160	F	Married	1	Itaquera
161	F	Married	1	Guaianases
162	F	Married	3	Cidade tiradentes
164	F	Single	4	Guaianases
165	F	Single	2	Guaianases
168	F	Married	4	Vila Prudente
169	F	Married	1	Itaquera
170	F	Single	1	Cidade tiradentes
175	F	Single	1	São Miguel Paulista
177	F	Married	1	Itaquera
178	F	Single	1	Itaquera
179	F	Single	1	Cidade tiradentes
180	F	Single	4	Itaquera
181	F	Single	1	Guaianases
182	F	Married	1	Itaquera
187	F	Single	1	Itaquera
188	F	Married	4	Itaquera
190	F	Married	1	Itaquera
191	F	Single	4	Itaquera
192	F	Married	4	Guaianases
193	F	Single	1	Cidade tiradentes
194	F	Single	1	Cidade tiradentes
195	F	Single	4	Cidade tiradentes
197	F	Married	1	Guaianases
198	F	Married	1	Guaianases
208	F	Married	2	Itaquera
210	F	Married	1	Cidade tiradentes
211	F	Married	3	Cidade tiradentes
213	F	Single	3	Itaquera
216	F	Single	2	Itaquera
218	F	Single	2	Cidade tiradentes
221	F	Married	2	Itaquera
224	F	Married	3	São Miguel Paulista
225	F	Single	5	Guaianases
226	F	Single	2	Guaianases
227	F	Single	3	Itaquera
228	F	Married	3	Guaianases
229	F	Married	1	Itaquera
235	F	Married	2	Guaianases
238	F	Married	1	Guaianases
240	F	Married	2	Itaquera
242	F	Single	1	São Miguel Paulista
243	F	Single	1	Cidade tiradentes
244	F	Married	3	Cidade tiradentes
248	F	Single	1	Cidade tiradentes
250	F	Single	1	Guaianases
257	F	Married	3	Guaianases
260	F	Married	5	Guaianases
262	F	Single	4	Cidade tiradentes
264	F	Single	1	Vila Prudente
265	F	Single	4	Guaianases
268	F	Married	1	Cidade tiradentes
271	F	Single	2	Cidade tiradentes
272	F	Single	1	Guaianases
273	F	Single	1	Cidade tiradentes
274	F	Single	4	Itaquera
275	F	Married	2	Cidade tiradentes
280	F	Single	1	Itaquera
281	F	Single	1	Cidade tiradentes
282	F	Single	3	Guaianases
283	F	Single	3	Vila Prudente
286	F	Single	1	São Miguel Paulista
287	F	Married	1	Cidade tiradentes
291	F	Single	1	Cidade tiradentes
294	F	Single	1	Guaianases
296	F	Married	5	Cidade tiradentes
297	F	Married	5	Cidade tiradentes
298	F	Married	2	Cidade tiradentes
299	F	Married	1	Cidade tiradentes
301	F	Married	5	Guaianases
303	F	Married	1	Vila Prudente
304	F	Married	1	Itaquera
305	F	Single	4	Cidade tiradentes
309	F	Single	1	São Miguel Paulista
310	F	Single	1	Cidade tiradentes
312	F	Married	3	Itaquera
317	F	Married	1	Itaquera
319	F	Married	1	Itaquera
321	F	Single	2	Cidade tiradentes
322	F	Single	1	Guaianases
323	F	Married	4	Guaianases
328	F	Single	3	Guaianases
329	F	Single	2	Itaquera
330	F	Single	1	Cidade tiradentes
335	F	Single	5	Itaquera
336	F	Married	3	Cidade tiradentes
337	F	Married	1	São Miguel Paulista
338	F	Married	3	Vila Prudente
339	F	Single	2	Cidade tiradentes
340	F	Married	2	São Miguel Paulista
341	F	Married	1	Itaquera
344	F	Single	1	Cidade tiradentes
345	F	Married	2	Cidade tiradentes
346	F	Married	1	Itaquera
347	F	Single	4	Vila Prudente
349	F	Single	1	Vila Prudente
352	F	Married	1	Guaianases
354	F	Married	2	São Miguel Paulista
355	F	Single	1	Guaianases
